Industry Description,Number of establishments,Total employment,Paid employees,Total income,Total expense,Compensation,Other expense,Value of output,Intermediate expense,Value added,Gross addition to tangible fixed assets,Change in inventories,Subsidies,Sales from e-commerce transactions
Slaughtering and meat packing,40,4698,4655,2890738,2634770,480498,2154272,2797290,1791983,928288,110654,6090,591,0
Production processing and preserving of meat and meat products,82,16023,16007,77845228,73917430,3672600,70244831,78016221,59869009,9718763,1060263,-343099,0,0
Canning/packing of fish and other marine products,43,11929,11918,23672393,23373523,1616280,21757243,22649219,18234400,2855242,247139,-274938,0,0
Drying of fish and other marine products,3,168,168,610647,595481,45967,549515,664895,518607,83451,165769,51454,0,0
Smoking of fish and other marine products,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Manufacture of fish paste (bagoong) and fish sauce(patis),16,925,913,899811,767511,173533,593978,905809,460354,335525,-350,31690,0,0
Processing of seaweeds; manufacture of agar-agar or carageenan,18,1330,1320,9317957,8626013,394383,8231630,9449088,7591325,1354751,93386,-28203,0,0
Production of fishmeal/prawn feeds,8,719,719,4595726,4535373,232560,4302813,4555226,3934789,401948,76066,-10946,0,0
"Manufacture of unprepared animal feeds from fish, crustaceans and mollusks and other aquatic animals",6,360,360,4204584,3945647,105729,3839918,4178452,3329702,563001,91420,21681,0,0
"Processing, preserving and canning of fish, crustacean and mollusks, n.e.c. manufacture of fishball, etc.",39,3082,3046,4522011,4341414,357046,3984367,4441177,3484117,638785,32717,-73858,34,0
Canning/packing and preserving of fruits and fruit juices,36,13191,13179,26559086,25058015,4053548,21004466,26247656,16712051,6231945,473382,-208443,0,0
Canning/packing and preserving of vegetables and vegetable juices,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Manufacture of fruit and vegetable sauces (e.g. tomato sauce and paste),18,1604,1603,14995353,13735112,1054411,12680701,14484353,9049874,2729758,476766,109743,0,0
Quick-freezing of fruits and vegetables,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Roasting of nut or manufacture of nut foods and pastes,14,1201,1198,2081389,1952653,150764,1801889,2103053,1751309,303483,0,32903,0,0
"Manufacture of perishable prepared foods of fruit and vegetables, such as: salad, peeled or cut vegetables, tofu (bean curd)",10,490,461,863489,828751,53733,775019,861041,675713,142348,725,17821,0,0
"Processing and preserving of fruits and vegetables, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
Manufacture of virgin coconut oil,20,1663,1657,31547838,29465482,323681,29141801,30743891,27768900,2471112,156787,464554,0,0
Manufacture of desiccated coconut,15,8224,8224,20418368,18062727,1544431,16518297,20734501,14898265,4399589,104892,533241,0,0
Manufacture of nata de coco,8,549,546,870883,796586,61771,734815,865221,695430,143811,0,-19468,0,0
"Production of crude vegetable oil, cake and meals, other than virgin coconut oil (see class 1041)",11,903,903,3635698,3434672,102499,3332173,3756850,3168119,446775,9878,-166697,0,0
Manufacture of refined coconut and other vegetable oil (including corn oil) and margarine,38,3082,3069,37039383,36342835,774717,35568118,37049139,33662673,2199625,241552,513941,0,0
"Manufacture of unprepared animal feeds from vegetable, animal oils and fats",4,179,179,2473512,2426953,46737,2380215,2331765,2067534,230012,13816,76965,0,0
"Manufacture of vegetable and animal oil and fats, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s,s
Processing of fresh milk and cream,9,4070,4070,147219584,124811337,7374878,117436460,142354050,66542112,33400669,1909473,-3564963,0,0
"Manufacture of powdered milk (except for infants) and condensed or evaporated milk (filled, combined or reconstituted)",c,c,c,c,c,c,c,c,c,c,c,c,c,c
Manufacture of infants' powdered milk,c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of butter, cheese and curd",3,1225,1225,24278795,19186844,1227629,17959215,23864404,12024643,7227772,218836,-347306,0,0
"Manufacture of ice cream and sherbet, ice drop, ice candy and other flavored ices",11,1103,1096,8852057,5935598,560471,5375127,8860461,4614620,3889226,13621,-131510,0,0
Manufacture of milk-based infants' and dietetic foods,13,4231,4230,35305405,27969626,3072248,24897378,34455286,15308509,12311725,760962,-590102,0,0
"Manufacture of dairy products, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
Rice/corn milling,104,4622,4534,30850907,26149703,583132,25566571,29465157,21236620,6278339,326484,3755876,0,0
Cassava flour milling,3,171,171,284435,298707,20068,278639,322087,280011,23192,13001,44884,0,0
