industry_desc,ind_code,year,emp_code,est_number,total_employment,paid_employees,total_income,total_exp,compensation,other_exp,value_of_output,intermediate_exp,value_added,tf_assets,change_inv,subsidy,commerce_transaction
Manufacture of farm tractors,15330,2015,B,3,47,45,40197.00,38796.00,2509.00,36287.00,38436.00,30343.00,5892.00,2429.00,-2929.00,0.00,0.00
"Manufacture of appliance cords, extension cords, and other electrical cord",15304,2015,A,14,3350,3350,7151530.00,6767378.00,976627.00,5790751.00,6942455.00,3903091.00,2198348.00,903129.00,-137475.00,0.00,0.00
Manufacture of muscovado sugar not carried on in the farm,1546,2015,A,4,353,353,176746.00,173920.00,26868.00,147052.00,176289.00,121838.00,40086.00,229.00,81.00,0.00,0.00
Processing of fresh milk and cream,1525,2015,B,10,64,64,101953.00,96364.00,9658.00,86706.00,100798.00,77693.00,19181.00,0.00,2096.00,0.00,0.00
Manufacture of rubber garments,15192,2015,B,3,25,22,181457.00,171108.00,3736.00,167372.00,181242.00,147024.00,19441.00,2756.00,514.00,14518.00,0.00
Repair of machinery,15407,2015,A,46,2234,2231,2386527.00,1829174.00,543356.00,1285818.00,2367568.00,1165887.00,1007126.00,139684.00,-206493.00,0.00,0.00
Manufacture of wood furniture,15367,2015,A,151,10823,10710,7600845.00,7379572.00,1855936.00,5523636.00,7263739.00,4272477.00,2369027.00,77570.00,-128868.00,0.00,0.00
"Manufacture of other plastic, industrial /office/school supplies",15199,2015,B,33,410,406,494479.00,501875.00,81769.00,420106.00,506459.00,315798.00,124623.00,372.00,7676.00,0.00,0.00
"Manufacture of chocolate and sugar confectionery products, n.e.c.",1551,2015,A,7,1116,1116,2023134.00,1958719.00,199459.00,1759260.00,2024112.00,1563518.00,303050.00,0.00,41984.00,0.00,0.00
"Manufacture of articles for personal use, e.g. smoking pipes, combs, slides and similar articles",15395,2015,B,12,112,111,49435.00,46962.00,10506.00,36456.00,50954.00,29168.00,15144.00,-4.00,5160.00,0.00,0.00
Casting/foundry of iron,15236,2015,A,10,415,415,329401.00,310162.00,76735.00,233427.00,326788.00,199183.00,110616.00,14339.00,-515.00,0.00,0.00
Manufacture of dolls and doll garments,15384,2015,B,4,39,39,30437.00,29602.00,2293.00,27309.00,30372.00,24002.00,3557.00,0.00,361.00,0.00,0.00
"Manufacture of wire nails, not in steel rolling",15258,2015,B,3,28,28,14743.00,14105.00,3607.00,10498.00,14685.00,9412.00,4767.00,0.00,1338.00,0.00,0.00
