Industry Description,2016 Total Employment of 20 and Over Number of establishments,2016 Total Employment of 20 and Over Total employment,2016 Total Employment of 20 and Over Paid employees,2016 Total Employment of 20 and Over Total income,2016 Total Employment of 20 and Over Total expense,2016 Total Employment of 20 and Over Compensation,2016 Total Employment of 20 and Over Other expense,2016 Total Employment of 20 and Over Value of output,2016 Total Employment of 20 and Over Intermediate expense,2016 Total Employment of 20 and Over Value added,2016 Total Employment of 20 and Over Gross addition to tangible fixed assets,2016 Total Employment of 20 and Over Change in inventories,2016 Total Employment of 20 and Over Subsidies,2016 Total Employment of 20 and Over Sales from e-commerce transactions
Slaughtering and meat packing,41,5218,5172,2901464,2573510,608901,1964610,2877958,1624578,1158361,86993,-3182,500,0
Production processing and preserving of meat and meat products,82,17744,17717,82946228,76357580,4396022,71961558,83012391,61066283,13011167,1508166,-1150797,0,0
Canning/packing of fish and other marine products,48,10892,10878,25079777,23759929,1489804,22270125,24765481,19180889,3600536,170007,-122367,0,0
Drying of fish and other marine products,3,158,157,719029,698158,48264,649894,741755,549276,85101,141970,75259,0,0
Smoking of fish and other marine products,3,100,91,262934,267079,9588,257491,259204,227007,20575,0,-3715,0,0
Manufacture of fish paste (bagoong) and fish sauce(patis),15,906,900,1116479,1034776,226415,808361,1120349,629688,333885,128,7896,0,0
Processing of seaweeds; manufacture of agar-agar or carageenan,17,1429,1424,8445490,7623696,484547,7139149,8496857,6252001,1657322,106153,44830,1443,0
Production of fishmeal/prawn feeds,7,809,801,5264574,4944411,199914,4744497,5214793,4325137,651672,25598,-51285,0,0
"Manufacture of unprepared animal feeds from fish, crustaceans and mollusks and other aquatic animals",7,312,312,4636889,4444052,107750,4336302,4671691,3889972,480436,257870,-151777,0,0
"Processing, preserving and canning of fish, crustacean and mollusks, n.e.c. manufacture of fishball, etc.",35,2868,2835,4608691,4451538,340056,4111482,4637519,3752068,588463,78160,24976,0,0
Canning/packing and preserving of fruits and fruit juices,36,10962,10941,28402343,24972021,3051432,21920590,28037344,16838180,7551405,367672,503199,0,0
Canning/packing and preserving of vegetables and vegetable juices,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Manufacture of fruit and vegetable sauces (e.g. tomato sauce and paste),20,1699,1690,13213559,12346802,1174916,11171886,13012396,8270383,2709178,188947,46833,0,0
Quick-freezing of fruits and vegetables,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Roasting of nut or manufacture of nut foods and pastes,13,1255,1253,2642553,2441034,167514,2273520,2650682,2195391,402198,19,74773,0,0
"Manufacture of perishable prepared foods of fruit and vegetables, such as: salad, peeled or cut vegetables, tofu (bean curd)",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Processing and preserving of fruits and vegetables, n.e.c.",8,403,391,907099,896671,58262,838408,905144,735952,125203,20323,-22337,0,0
Manufacture of virgin coconut oil,21,1490,1482,37849966,33917477,290200,33627277,38895288,34100792,4494371,70550,1889332,0,0
Manufacture of desiccated coconut,15,8407,8407,21068570,20610545,1911961,18698584,21031302,16810432,3091930,1009311,346775,0,0
Manufacture of nata de coco,8,538,538,903282,834437,68707,765730,882293,712046,147151,2459,-15728,0,0
"Production of crude vegetable oil, cake and meals, other than virgin coconut oil (see class 1041)",8,626,626,7942653,6988734,108119,6880614,7645314,6523284,1047661,5772,-13053,0,0
Manufacture of refined coconut and other vegetable oil (including corn oil) and margarine,36,3798,3796,47734472,46724178,738730,45985448,47898712,43766829,2928125,262221,889849,0,0
