"Industry Description","2016 Total Employment of Less than 20 Number of establishments","2016 Total Employment of Less than 20 Total employment","2016 Total Employment of Less than 20 Paid employees","2016 Total Employment of Less than 20 Total income","2016 Total Employment of Less than 20 Total expense","2016 Total Employment of Less than 20 Compensation","2016 Total Employment of Less than 20 Other expense","2016 Total Employment of Less than 20 Value of output","2016 Total Employment of Less than 20 Intermediate expense","2016 Total Employment of Less than 20 Value added","2016 Total Employment of Less than 20 Gross addition to tangible fixed assets","2016 Total Employment of Less than 20 Change in inventories","2016 Total Employment of Less than 20 Subsidies","2016 Total Employment of Less than 20 Sales from e-commerce transactions"
"Slaughtering and meat packing",38,335,273,59759,51434,28624,22811,54499,16254,35782,0,-169,0,0
"Production processing and preserving of meat and meat products",90,1515,1427,7051637,5576055,223355,5352700,7037424,5251562,1782904,0,83349,0,0
"Canning/packing of fish and other marine products",12,108,108,465971,458159,15970,442189,463207,339830,46406,0,-99540,0,0
"Drying of fish and other marine products",52,481,275,79478,65476,8672,56804,80328,52762,23230,139,777,0,0
"Smoking of fish and other marine products",19,201,98,463537,340105,7936,332170,478586,324875,144055,0,40523,0,0
"Manufacture of fish paste (bagoong) and fish sauce(patis)",24,352,352,110150,99215,31793,67423,105273,58483,43341,0,50,0,0
"Processing of seaweeds; manufacture of agar-agar or carageenan",33,279,272,251793,215478,11667,203809,214407,152417,50857,5243,-287,0,0
"Production of fishmeal/prawn feeds",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of unprepared animal feeds from fish, crustaceans and mollusks and other aquatic animals",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Processing, preserving and canning of fish, crustacean and mollusks, n.e.c. manufacture of fishball, etc.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Canning/packing and preserving of fruits and fruit juices",32,298,276,429281,392305,52755,339551,440072,310819,112830,0,11737,0,0
"Canning/packing and preserving of vegetables and vegetable juices",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of fruit and vegetable sauces (e.g. tomato sauce and paste)",7,89,88,950015,922609,29871,892739,916019,734756,84999,0,-118488,0,0
"Quick-freezing of fruits and vegetables",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Roasting of nut or manufacture of nut foods and pastes",26,227,170,80496,57657,9531,48126,76196,36914,37816,0,17110,900,0
"Manufacture of perishable prepared foods of fruit and vegetables, such as: salad, peeled or cut vegetables, tofu (bean curd)",15,152,128,126503,119933,8430,111503,126374,94871,21016,0,908,0,0
"Processing and preserving of fruits and vegetables, n.e.c.",10,115,90,35207,32545,8717,23827,35409,23744,11547,0,182,0,0
"Manufacture of virgin coconut oil",19,202,146,660984,639496,11551,627944,661761,606074,44353,0,2797,0,258
"Manufacture of desiccated coconut",8,41,40,41869,35645,5795,29850,41828,28565,12393,0,0,0,0
"Manufacture of nata de coco",5,52,45,116093,114840,3820,111020,116093,106743,5115,0,27,0,0
"Production of crude vegetable oil, cake and meals, other than virgin coconut oil (see class 1041)",3,29,29,29958,28062,4219,23843,29601,10482,11598,0,-226,0,0
"Manufacture of refined coconut and other vegetable oil (including corn oil) and margarine",24,246,241,2498090,2339131,81628,2257503,2298231,1954213,476763,0,139740,0,0
"Manufacture of unprepared animal feeds from vegetable, animal oils and fats",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of vegetable and animal oil and fats, n.e.c.",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Processing of fresh milk and cream",10,64,64,98570,88722,10146,78576,97036,74068,21800,1546,363,0,0
"Manufacture of powdered milk (except for infants) and condensed or evaporated milk (filled, combined or reconstituted)",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of infants' powdered milk",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of butter, cheese and curd",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of ice cream and sherbet, ice drop, ice candy and other flavored ices",53,358,358,191524,165277,21308,143969,191506,132970,53070,0,6199,0,0
"Manufacture of milk-based infants' and dietetic foods",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of dairy products, n.e.c.",6,59,55,93446,90069,7296,82773,92417,69435,16929,30,273947,0,0
"Rice/corn milling",1554,10051,7124,6051741,5159490,406409,4753081,6043837,4531906,1538596,136333,297189,0,0
"Cassava flour milling",3,24,20,8485,7626,993,6633,8323,6062,2042,80,-316,0,0
"Flour milling except cassava flour milling",c,c,c,c,c,c,c,c,c,c,c,c,c,c
"Manufacture of cereal breakfast foods obtained by roasting or swelling, etc.",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of unprepared animal feeds from grain milling residues",13,118,108,307950,258154,27218,230936,300381,211117,81684,5244,-9580,0,0
"Manufacture of flour mixes and prepared blended flour and dough for bread, cakes, biscuits or pancakes",5,29,21,131530,128961,5632,123329,133815,105370,15684,0,1243,0,0
"Manufacture of grain and vegetable mill products, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of starches and starch products",8,76,54,296582,288710,22119,266591,296581,226594,68623,0,-332,0,0
"Baking of bread, cakes, pastries, pies and similar 'perishable' bakery products, including hopia and doughnut making",7165,54727,51552,13836889,13150671,3548723,9601948,13436208,7737288,4856854,13852,-308174,0,0
"Baking of biscuits cookies, crackers, pretzels and similar dry bakery products",30,504,486,271207,257715,36544,221172,261027,189600,59859,0,-16203,0,0
"Manufacture of ice cream cones (apa) and wafers (barquillos)",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of snack products such as corn curls, wheat crunchies and similar products",51,497,487,182561,146265,20895,125370,192032,118024,62385,0,19025,0,0
"Sugarcane milling",8,98,95,7547,5586,2974,2612,7547,2217,5309,165,0,0,0
"Sugar refining",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of muscovado sugar not carried on in the farm",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of sugar, n.e.c.",13,148,148,138780,123932,26423,97509,139371,78416,47163,0,2118,0,0
"Manufacture of chocolate and cocoa products including chocolate candies",6,72,57,28691,32898,5848,27050,42571,39969,706,0,11802,0,0
"Manufacture of candies (excluding chocolate candies) and chewing gum",76,953,842,408638,352800,62398,290402,415097,252357,145097,0,-4219,0,0
"Manufacture of popcorn and poprice",7,74,64,12716,9842,3462,6380,12717,5627,6613,1000,-386,0,0
"Manufacture of chocolate and sugar confectionery products, n.e.c.",3,38,36,16410,14716,4650,10066,19053,11699,6999,1720,2798,0,0
