"Industry Description","2017 Total Employment of 20 and Over Number of establishments","2017 Total Employment of 20 and Over Total employment","2017 Total Employment of 20 and Over Paid employees","2017 Total Employment of 20 and Over Total income","2017 Total Employment of 20 and Over Total expense","2017 Total Employment of 20 and Over Compensation","2017 Total Employment of 20 and Over Other expense","2017 Total Employment of 20 and Over Value of output","2017 Total Employment of 20 and Over Intermediate expense","2017 Total Employment of 20 and Over Value added","2017 Total Employment of 20 and Over Gross addition to tangible fixed assets","2017 Total Employment of 20 and Over Change in inventories","2017 Total Employment of 20 and Over Subsidies","2017 Total Employment of 20 and Over Sales from e-commerce transactions"
"Processing and preserving of meat",129,23523,23458,101211766,87870254,5869592,82000663,100953718,68982942,21659784,3502299,2292513,500,63865
"Processing and preserving of fish, crustaceans and mollusks",137,16501,16439,64689204,54471582,2848769,51622813,64285026,46946251,13980939,986725,801476,29097,388462
"Processing and preserving of fruits and vegetables",75,25216,25194,67335999,59808313,7811546,51996767,64923921,38892119,17720578,3470821,1331017,13247,8533605
"Manufacture of vegetable and animal oils and fats",88,11916,11892,161931154,147914968,3525309,144389659,162341971,140201167,18763439,868132,5839191,0,3676948
"Manufacture of dairy products",37,11351,11342,216424573,176976056,13249788,163726268,214436621,108358614,61936847,600025,-525950,0,231987
"Manufacture of grain mill products, starches and starch products",131,8700,8442,82397401,72875406,2677092,70198315,81587806,61159488,15407001,1013988,1126403,630902,1757269
"Manufacture of other food products",740,93750,93364,316866805,280450133,26937413,253512720,309968705,194955761,75202899,9315985,4801268,0,51005
"Manufacture of prepared animal feeds",125,10211,10152,99211781,87657211,2896063,84761149,98736132,76709514,17249492,1883517,-491532,0,0
"Manufacture of beverages",101,16486,16486,252940680,225591785,16867282,208724503,249199094,107010729,114257898,8785979,-1975736,9578,322351
"Manufacture of tobacco products",15,12372,12372,208455386,172448109,8185266,164262842,160339580,49895708,98956974,79403,-2817672,0,606
"Spinning, weaving and finishing of textiles",58,5784,5766,7621769,6911289,1143604,5767685,7571921,5019699,2318723,345338,213139,3471,0
"Manufacture of other textiles",117,21202,21174,21668525,18840065,4020471,14819595,21873860,13784200,7428070,159143,464522,0,1455
"Manufacture of wearing apparel, except fur apparel",467,104212,104093,57936421,53053048,18735674,34317374,57662381,29395103,25361835,408979,615031,186343,0
"Custom tailoring and dressmaking",36,1334,1321,573077,474397,159096,315301,566949,265248,271619,4109,11940,0,0
"Manufacture of knitted and crocheted apparel",21,3978,3974,3862176,3357621,756181,2601441,3870919,2087156,1351402,44398,92600,41807,0
"Tanning and dressing of leather; manufacture of luggage and handbags",53,14646,14614,22211454,18133823,3489890,14643934,21759278,12682398,8132569,5165896,101927,0,0
"Manufacture of footwear",76,7218,7154,6923407,6562673,1107215,5455458,6969646,4727055,1749561,140267,63589,0,85
"Sawmilling and planing of wood",28,1380,1363,2007888,1657044,148838,1508206,1918767,1230979,604217,118655,53008,0,0
"Manufacture of products of wood, cork, straw and plaiting materials",118,14371,14322,43784539,39537472,2254531,37282941,43859487,34352575,7579333,401927,1240772,199,36241
"Manufacture of paper and paper products",201,20323,20256,89289059,78504472,4985918,73518554,88224785,65811902,18799195,891105,2750396,95554,67743
"Printing and service activities related to printing",337,15570,15507,26976727,23215297,2860365,20354932,25078718,17485540,7620146,251463,364766,0,0
"Reproduction of recorded media",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of refined petroleum products",13,2084,2077,402306325,387911556,4979272,382932284,389860067,332262658,35937372,107653,-27031509,0,0
"Manufacture of other fuel products",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacture of basic chemicals",92,6991,6957,123490446,100868633,3341735,97526898,118762111,71886066,28706796,3334544,1230611,0,7747459
"Manufacture of other chemical products, n.e.c.",203,21593,21585,159498763,138739742,9887094,128852647,155557216,88091013,33597609,2585128,1338525,0,0
"Manufacture of man-made fibers",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",86,13942,13926,76448151,66618372,7785407,58832965,54210903,23480234,18373902,1252893,-6275988,1780,0
"Manufacture of rubber products",82,11460,11452,33647970,27183075,3439624,23743451,32552674,18701800,12514808,1552180,-73531,0,0
"Manufacture of plastics products",471,45828,45701,106694675,95397173,10079194,85317979,106592471,77192749,24524899,3308233,4061548,57859,0
"Manufacture of glass and glass products",41,4546,4538,17336007,14614481,1136848,13477633,17194174,10263732,4747296,11178,-140567,0,0
"Manufacture of non-metallic mineral products, n.e.c.",173,25385,25245,185276248,157727413,7090890,150636523,183140410,122533681,42445575,3687205,2062672,300,0
"Manufacture of basic iron and steel",124,12129,12121,106756525,98043429,4055977,93987452,109841353,91084325,15185802,1354458,11344245,0,3697
"Manufacture of basic precious and other non-ferrous metals",16,2010,2010,124463430,119384769,1056155,118328614,128187011,116444515,8944330,2668070,28353231,0,40410
"Casting of metals",41,3978,3972,11002062,9821254,1117398,8703856,11054553,7510735,2813791,302046,-69862,0,0
"Manufacture of structural metal products, tanks, reservoirs and steam generators",149,17656,17604,31866719,29179801,3561760,25618041,29274058,20989172,6720511,656572,1991602,0,1323
"Manufacture of weapons and ammunition",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of other fabricated metal products; metal working service activities",291,35651,35595,81592791,74967072,9287971,65679101,80421311,55677066,20011239,2697287,2129724,15154,734346
"Manufacture of electronic components",135,153036,153026,589669635,422303881,59434879,362869002,594822786,292983783,278695323,42893748,14699652,14587,56465539
"Manufacture of computers and peripheral equipment and accessories",41,58733,58733,185615193,166381552,16991010,149390541,185237783,140984886,39516994,1613211,-30698200,0,579915
