id,industry_desc,ind_code
1,Slaughtering and meat packing,151
2,Production processing and preserving of meat and meat products,152
3,Canning/packing of fish and other marine products,153
4,Drying of fish and other marine products,154
5,Smoking of fish and other marine products,155
6,Manufacture of fish paste (bagoong) and fish sauce(patis),156
7,Processing of seaweeds; manufacture of agar-agar or carageenan,157
8,Production of fishmeal/prawn feeds,158
9,"Manufacture of unprepared animal feeds from fish, crustaceans and mollusks and other aquatic animals",159
10,"Processing, preserving and canning of fish, crustacean and mollusks, n.e.c. manufacture of fishball, etc.",1510
11,Canning/packing and preserving of fruits and fruit juices,1511
12,Canning/packing and preserving of vegetables and vegetable juices,1512
13,Manufacture of fruit and vegetable sauces (e.g. tomato sauce and paste),1513
14,Quick-freezing of fruits and vegetables,1514
15,Roasting of nut or manufacture of nut foods and pastes,1515
16,"Manufacture of perishable prepared foods of fruit and vegetables, such as: salad, peeled or cut vegetables, tofu (bean curd)",1516
17,"Processing and preserving of fruits and vegetables, n.e.c.",1517
18,Manufacture of virgin coconut oil,1518
19,Manufacture of desiccated coconut,1519
20,Manufacture of nata de coco,1520
21,"Production of crude vegetable oil, cake and meals, other than virgin coconut oil (see class 1041)",1521
22,Manufacture of refined coconut and other vegetable oil (including corn oil) and margarine,1522
23,"Manufacture of unprepared animal feeds from vegetable, animal oils and fats",1523
24,"Manufacture of vegetable and animal oil and fats, n.e.c.",1524
25,Processing of fresh milk and cream,1525
26,"Manufacture of powdered milk (except for infants) and condensed or evaporated milk (filled, combined or reconstituted)",1526
27,Manufacture of infants' powdered milk,1527
28,"Manufacture of butter, cheese and curd",1528
29,"Manufacture of ice cream and sherbet, ice drop, ice candy and other flavored ices",1529
30,Manufacture of milk-based infants' and dietetic foods,1530
31,"Manufacture of dairy products, n.e.c.",1531
32,Rice/corn milling,1532
33,Cassava flour milling,1533
34,Flour milling except cassava flour milling,1534
35,"Manufacture of cereal breakfast foods obtained by roasting or swelling, etc.",1535
36,Manufacture of unprepared animal feeds from grain milling residues,1536
37,"Manufacture of flour mixes and prepared blended flour and dough for bread, cakes, biscuits or pancakes",1537
38,"Manufacture of grain and vegetable mill products, n.e.c.",1538
39,Manufacture of starches and starch products,1539
40,"Baking of bread, cakes, pastries, pies and similar 'perishable' bakery products, including hopia and doughnut making",1540
41,"Baking of biscuits cookies, crackers, pretzels and similar dry bakery products",1541
42,Manufacture of ice cream cones (apa) and wafers (barquillos),1542
43,"Manufacture of snack products such as corn curls, wheat crunchies and similar products",1543
44,Sugarcane milling,1544
45,Sugar refining,1545
46,Manufacture of muscovado sugar not carried on in the farm,1546
47,"Manufacture of sugar, n.e.c.",1547
48,Manufacture of chocolate and cocoa products including chocolate candies,1548
49,Manufacture of candies (excluding chocolate candies) and chewing gum,1549
50,Manufactur e of popcorn and poprice,1550
51,"Manufacture of chocolate and sugar confectionery products, n.e.c.",1551
52,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",1552
53,Manufacture of prepared meals and dishes,1553
54,Manufacture of food supplements from herbs and other plants,1554
55,Coffee roasting and processing,1555
56,"Manufacture of herb from drying and further extraction ( e.g. banaba, ampalaya, moringa (malunggay), sambong, lagundi etc.)",1556
57,"Manufacture of ice, except dry ice",1557
58,Manufacture of infant or dietetic foods containing homogenized ingredients,1558
59,Egg processing including fertilized egg (balut) and salted eggs,1559
60,Manufacture of flavoring extracts and food coloring,1560
61,"Manufacture of mayonnaise, salad dressing, sandwich spread and similar products",1561
62,Manufacture of vinegar,1562
63,"Manufacture of food products, n.e.c.",1563
64,Manufacture of prepared animal feeds,1564
65,"Distilling, rectifying and blending of spirits",1565
66,Fruit wine manufacturing,1566
67,"Wine manufacturing, n.e.c.",1567
68,Manufacture of malt liquors and malt,1568
69,"Manufacture of soft drinks except drinks flavored with fruit juices, syrups or other materials",1569
70,"Manufacture of drinks flavored with fruit juices, syrups or other materials",1570
71,Manufacture of bottled water,1571
72,Manufacture of sports and energy drink,1572
73,"Manufacture of other beverages, n.e.c.",1573
74,Manufacture of cigarettes,1574
75,Manufacture of cigars,1575
76,"Manufacture of chewing and smoking tobacco, snuff",1576
77,Curing and redrying tobacco leaves,1577
78,Spinning,1578
79,"Preparation of textiles, n.e.c.",1579
80,Weavi ng of textiles,1580
81,Finishing of textiles,1581
82,Preparation and finishing of textiles (integrated),1582
83,Manufacture of knitted and crocheted fabrics,1583
84,Manufacture of textile industrial bags,1584
85,Manufacture of made-up textile goods for house furnishings,1585
86,Manufacture of canvas products,1586
87,"Manufacture of made-up textile articles, except wearing apparel, n.e.c.",1587
88,"Manufacture of carpets and rugs, except mats of textile materials",1588
89,Manufacture of mats (including mattings) of textile materials,1589
90,"Manufacture of cordage, rope, and twine",1590
91,"Manufacture of fishing nets and other nettings, (excluding mosquito and hairnets)",1591
92,"Manufacture of products of cordage, rope and twine products",1592
93,Manufacture of embroidered fabrics,1593
94,"Manufacture of narrow fabrics, laces, tulles and other net fabrics",1594
95,"Manufacture of fabrics, impregnated, coated, covered or laminated with plastic",1595
96,"Manufacture of fabrics, impregnated, coated, covered or laminated other than with plastic and rubber",1596
97,"Manufacture of fiber batting, padding and upholstery filling including coir",1597
98,"Manufacture of miscellaneous textiles, n.e.c.",1598
99,Men's and boys' garment manufacturing,1599
100,Women's and girls' and babies' garment manufacturing,15100
101,Ready-made embroidered garments manufacturing,15101
102,"Manufacture of hats, gloves, handkerchiefs, neckwear and belts regardless of material",15102
103,"Manufacture of wearing apparel, n.e.c",15103
104,Custom tailoring,15104
105,Custom dressmaking,15105
106,Manufacture of knitted and crocheted apparel,15106
107,"Manufacture of knitted or crocheted hosiery, underwear and outerwear when knitted o r crocheted directly into shape",15107
108,"Manufacture of knitted and crocheted articles, n.e.c.",15108
109,Tanning and dressing of leather,15109
110,"Manufacture of luggage, handbags and wallets of leather and imitation leather",15110
111,"Manufature of products of leather and imitation leather, n.e.c.",15111
112,Manufacture of leather shoes,15112
113,Manufacture of rubber shoes,15113
114,Manufacture of plastic shoes,15114
115,Manufacture of shoes made of textile materials with applied soles,15115
116,Manufacture of wooden footwear and accessories,15116
117,Manufacture of rubber slippers,15117
118,"Manufacture of slippers and sandals, other than rubber",15118
119,Manufacture of leather parts of footwear,15119
120,"Manufacture of other footwear, n.e.c.",15120
121,Manufacture of rough lumber,15121
122,Manufacture of worked lumber,15122
123,Wood preserving and drying,15123
124,"Sawmilling and planing of wood products, n.e.c.",15124
125,Manufacture of veneer sheets and plywood,15125
126,"Manufacture of laminboard, particle board and other panels and board",15126
127,"Manufacture of wooden window and door screens, shades and venetian blinds",15127
128,Manufacture of other builders' carpentry and joinery; millworking,15128
129,Manufacture of wooden containers,15129
130,Manufacture of wood carvings,15130
131,Manufacture of charcoal outside the forest,15131
132,Manufacture of wooden wares,15132
133,Manufacture of rattan and cane containers,15133
134,"Manufacture of sawali, nipa and split canes",15134
135,Manufacture of small cane wares,15135
136,"Manufacture of articles of cork, straw and plaiting materials",15136
137,"Manufacture other products of bamboo, cane, rattan and the like, and plaiting materials except furniture, n.e.c.",15137
138,"Manufacture of other products of wood; manufacture of articles of cork and plaiting materials, except furniture, n.e .c.",15138
139,"Integrated pulp,paper and paperboard milling",15139
140,Pulp milling,15140
141,Paper and paperboard milling,15141
142,Manufacture of hand-made paper,15142
143,"Manufacture of pulp, paper and paperboard, n.e.c.",15143
144,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,15144
145,Manufacture of household and personal hygiene paper and cellulose wadding products,15145
146,"Manufacture of wadding of textile materials and articles of wadding (e.g. sanitary towels, tampons, etc.)",15146
147,Manufacture of other articles of paper,15147
148,Manufacture of other articles of paperboard,15148
149,Printing,15149
150,"Electrotyping, stereotyping and photoengraving",15150
151,Bookbinding and related work,15151
152,"Service activities related to printing, n.e.c.",15152
153,Reproduction of video and computer tapes from mastercopies,15153
154,"Reproduction of floppy, hard or compact disks",15154
155,Film and video reproduction,15155
156,Manufacture of refined petroleum products,15156
157,Manufacture of other fuel products,15157
158,Manufacture of ethanol,15158
159,Manufacture of industrial (compressed and liquefied) gases,15159
160,Manufacture of inorganic salts and compounds,15160
161,Manufacture of ethyl alcohol,15161
162,Manufacture of alcohol except ethyl/ethanol,15162
163,"Manufacture of inorganic acids, alkalis and chlorine",15163
164,Manufacture of organic acids and organic compounds,15164
165,"Manufacture of basic chemicals, except fertilizers and nitrogen compounds, n.e.c.",15165
166,Manufacture of fertilizers and nitrogen compounds,15166
167,Manufacture of plastic synthetic resins,15167
168,Manufacture of plastic materials except man-made fiber and glass fiber,15168
169,Manufacture of pesticides and other agro-chemical products,15169
170,Manufacture of paints,15170
171,"Manufacture of varnishes, lacquers, shellac and stains",15171
172,"Manufacture of paint removers, thinners, and brush cleaners",15172
173,Manufacture of pigments and other coloring matter of a kind used in the manufacture of paints or by artists or other painters,15173
174,Manufacture of printing ink,15174
175,"Manufacture of paint products, n.e.c.",15175
176,Manufacture of soap and detergents,15176
177,"Manufacture of cleaning preparations, except soap and detergents",15177
178,Manufacture of waxes and polishing preparations,15178
179,"Manufacture of perfumes, cosmetics and other toilet preparations",15179
180,"Manufacture of explosives, fireworks and firecrackers",15180
181,Manufacture of matches,15181
182,Manufacture of writing and drawing ink,15182
183,Manufacture of glues and adhesives,15183
184,Manufacture of activated carbon,15184
185,"Manufacture of miscellaneous chemical products, n.e.c.",15185
186,Manufacture of synthetic or artificial filament yarn,15186
187,"Manufacture of man-made filament tow or staple fibers, except glass fiber",15187
188,"Manufacture of drugs and medicines including biological products such as bacterial and virus vaccines, sera and plasma",15188
189,"Manufacture of surgical dressings, medicated wadding , fracture bandages, catgut, and other prepared sutures",15189
190,Manufacture of rubber tires (including parts) and tubes,15190
191,Retreading and rebuilding of tires,15191
192,Manufacture of rubber garments,15192
193,"Manufacture of industrial and other molded rubber products, excluding tires and tubes",15193
194,"Manufacture of other rubber products, n.e.c.",15194
195,"Manufacture of plastic articles for packing goods (e.g. boxes, bags, sacks, etc)",15195
196,Manu facture of plastic household wares,15196
197,Manufacture of plastic furniture fittings,15197
198,Manufacture of plastic pipes and tubes,15198
199,"Manufacture of other plastic, industrial /office/school supplies",15199
200,"Manufacture of primary plastic products (e.g. sheets, film, plates, etc.)",15200
201,Manufacture of linoleum and hard surface floor coverings,15201
202,"Manufacture of plastic window and door screen, shades and venetian blinds",15202
203,"Manufacture of plastics products, n.e.c.",15203
204,Manufacture of flat glass (including float glass),15204
205,Manufacture of glass containers,15205
206,Manufacture of glass fibers (including glass wool) and yarn of glass fibers,15206
207,"Manufacture of glass and glass products, n.e.c.",15207
208,Manufacture of refractory products,15208
209,Manufacture of clay building materials,15209
210,Manufacture of vitreous china tableware and other kitchen articles of a kind commonly used for domestic or toilet purposes,15210
211,"Manufacture of articles of porcelain or china, stoneware, earthenware, imitation porcelain or common pottery",15211
212,Manufacture of coarse clay products,15212
213,"Manufacture of sanitary ware, vitreous china plumbing fittings and fixtures",15213
214,"Manufacture of other porcelain and ceramic products, n.e.c.",15214
215,Manufacture of cement,15215
216,Manufacture of lime,15216
217,Manufacture of structural concrete products,15217
218,"Manufacture of articles of concrete, cement and plaster, n.e.c.",15218
219,"Cutting, shaping and finishing of stone",15219
220,Manufacture of asphalt products,15220
221,Manufacture of asbestos products,15221
222,Manufacture of marble products,15222
223,Manufacture of abrasive products,15223
224,"Manufacture of miscellaneous non-metallic mineral products, n.e.c.",15224
225,Operation of blast furnaces and steel making furnaces,15225
226,Operation of rolling mills,15226
227,"Pipes and tubes manufacturing, iron or steel",15227
228,Manufacture of pipe fittings of iron or steel,15228
