industry_desc,ind_code,year,emp_code,est_number,total_employment,paid_employees,total_income,total_exp,compensation,other_exp,value_of_output,intermediate_exp,value_added,tf_assets,change_inv,subsidy,commerce_transaction
Canning/packing and preserving of fruits and fruit juices,1511,2015,A,36,13191,13179,26559086.00,25058015.00,4053548.00,21004466.00,26247656.00,16712051.00,6231945.00,473382.00,-208443.00,0.00,0.00
Manufacture of fruit and vegetable sauces (e.g. tomato sauce and paste),1513,2015,A,18,1604,1603,14995353.00,13735112.00,1054411.00,12680701.00,14484353.00,9049874.00,2729758.00,476766.00,109743.00,0.00,0.00
Roasting of nut or manufacture of nut foods and pastes,1515,2015,A,14,1201,1198,2081389.00,1952653.00,150764.00,1801889.00,2103053.00,1751309.00,303483.00,0.00,32903.00,0.00,0.00
"Manufacture of perishable prepared foods of fruit and vegetables, such as: salad, peeled or cut vegetables, tofu (bean curd)",1516,2015,A,10,490,461,863489.00,828751.00,53733.00,775019.00,861041.00,675713.00,142348.00,725.00,17821.00,0.00,0.00
Manufacture of virgin coconut oil,1518,2015,A,20,1663,1657,31547838.00,29465482.00,323681.00,29141801.00,30743891.00,27768900.00,2471112.00,156787.00,464554.00,0.00,0.00
Manufacture of desiccated coconut,1519,2015,A,15,8224,8224,20418368.00,18062727.00,1544431.00,16518297.00,20734501.00,14898265.00,4399589.00,104892.00,533241.00,0.00,0.00
Manufacture of nata de coco,1520,2015,A,8,549,546,870883.00,796586.00,61771.00,734815.00,865221.00,695430.00,143811.00,0.00,-19468.00,0.00,0.00
"Production of crude vegetable oil, cake and meals, other than virgin coconut oil (see class 1041)",1521,2015,A,11,903,903,3635698.00,3434672.00,102499.00,3332173.00,3756850.00,3168119.00,446775.00,9878.00,-166697.00,0.00,0.00
Manufacture of refined coconut and other vegetable oil (including corn oil) and margarine,1522,2015,A,38,3082,3069,37039383.00,36342835.00,774717.00,35568118.00,37049139.00,33662673.00,2199625.00,241552.00,513941.00,0.00,0.00
"Manufacture of unprepared animal feeds from vegetable, animal oils and fats",1523,2015,A,4,179,179,2473512.00,2426953.00,46737.00,2380215.00,2331765.00,2067534.00,230012.00,13816.00,76965.00,0.00,0.00
Processing of fresh milk and cream,1525,2015,A,9,4070,4070,147219584.00,124811337.00,7374878.00,117436460.00,142354050.00,66542112.00,33400669.00,1909473.00,-3564963.00,0.00,0.00
"Manufacture of butter, cheese and curd",1528,2015,A,3,1225,1225,24278795.00,19186844.00,1227629.00,17959215.00,23864404.00,12024643.00,7227772.00,218836.00,-347306.00,0.00,0.00
"Manufacture of ice cream and sherbet, ice drop, ice candy and other flavored ices",1529,2015,A,11,1103,1096,8852057.00,5935598.00,560471.00,5375127.00,8860461.00,4614620.00,3889226.00,13621.00,-131510.00,0.00,0.00
Manufacture of milk-based infants' and dietetic foods,1530,2015,A,13,4231,4230,35305405.00,27969626.00,3072248.00,24897378.00,34455286.00,15308509.00,12311725.00,760962.00,-590102.00,0.00,0.00
Rice/corn milling,1532,2015,A,104,4622,4534,30850907.00,26149703.00,583132.00,25566571.00,29465157.00,21236620.00,6278339.00,326484.00,3755876.00,0.00,0.00
Cassava flour milling,1533,2015,A,3,171,171,284435.00,298707.00,20068.00,278639.00,322087.00,280011.00,23192.00,13001.00,44884.00,0.00,0.00
Flour milling except cassava flour milling,1534,2015,A,11,2214,2213,55332754.00,47312349.00,1408071.00,45904278.00,54754107.00,39699891.00,11160844.00,1626052.00,1028645.00,1520.00,0.00
Manufacture of unprepared animal feeds from grain milling residues,1536,2015,A,14,995,994,10752814.00,10439730.00,272167.00,10167563.00,11066202.00,9621255.00,725683.00,123484.00,873783.00,0.00,0.00
"Manufacture of flour mixes and prepared blended flour and dough for bread, cakes, biscuits or pancakes",1537,2015,A,3,234,234,1510233.00,1269410.00,166080.00,1103330.00,1447029.00,971408.00,400200.00,5471.00,-78363.00,0.00,0.00
Manufacture of starches and starch products,1539,2015,A,4,1141,1141,5555326.00,4959652.00,199849.00,4759803.00,6075035.00,4560715.00,1012780.00,0.00,421243.00,0.00,0.00
"Baking of bread, cakes, pastries, pies and similar 'perishable' bakery products, including hopia and doughnut making",1540,2015,A,417,35623,35345,52765323.00,48297035.00,6679356.00,41617679.00,50537328.00,32323529.00,11490203.00,363238.00,1360260.00,248650.00,0.00
"Baking of biscuits cookies, crackers, pretzels and similar dry bakery products",1541,2015,A,37,14273,14268,61513938.00,51629008.00,4144836.00,47484172.00,61325057.00,39907109.00,15963643.00,177203.00,2395560.00,0.00,0.00
Manufacture of ice cream cones (apa) and wafers (barquillos),1542,2015,A,5,210,210,394503.00,383697.00,31554.00,352143.00,364167.00,283947.00,58990.00,106184.00,21587.00,0.00,0.00
"Manufacture of snack products such as corn curls, wheat crunchies and similar products",1543,2015,A,52,10367,10363,27903363.00,25840367.00,1975335.00,23865032.00,27368722.00,19861717.00,4965854.00,57988.00,481292.00,103890.00,0.00
Sugarcane milling,1544,2015,A,22,8611,8593,45051296.00,40458221.00,3311582.00,37146639.00,42119716.00,24622855.00,10373416.00,1785953.00,761685.00,0.00,0.00
Manufacture of muscovado sugar not carried on in the farm,1546,2015,A,4,353,353,176746.00,173920.00,26868.00,147052.00,176289.00,121838.00,40086.00,229.00,81.00,0.00,0.00
"Manufacture of sugar, n.e.c.",1547,2015,A,4,701,701,7456090.00,6857999.00,317356.00,6540643.00,6932138.00,5696589.00,1115032.00,0.00,-272449.00,0.00,0.00
Manufacture of chocolate and cocoa products including chocolate candies,1548,2015,A,8,817,807,2585793.00,2522652.00,312332.00,2210319.00,2598598.00,1803550.00,531027.00,43066.00,154803.00,0.00,0.00
Manufacture of candies (excluding chocolate candies) and chewing gum,1549,2015,A,33,2992,2952,5977174.00,5764479.00,700788.00,5063691.00,5966429.00,4290961.00,1249769.00,130097.00,-50490.00,0.00,0.00
Manufactur e of popcorn and poprice,1550,2015,A,3,828,822,471351.00,442000.00,119288.00,322712.00,470456.00,214738.00,169369.00,47679.00,-4636.00,0.00,0.00
"Manufacture of chocolate and sugar confectionery products, n.e.c.",1551,2015,A,7,1116,1116,2023134.00,1958719.00,199459.00,1759260.00,2024112.00,1563518.00,303050.00,0.00,41984.00,0.00,0.00
"Manufacture of macaroni, noodles, couscous and similar farinaceous products",1552,2015,A,71,8105,8096,55810918.00,48927777.00,4905378.00,44022399.00,53797485.00,34706337.00,11409733.00,238166.00,1088718.00,0.00,0.00
Manufacture of prepared meals and dishes,1553,2015,A,4,262,262,756193.00,746243.00,119247.00,626996.00,764281.00,397993.00,280975.00,0.00,-27159.00,0.00,0.00
Coffee roasting and processing,1555,2015,A,8,2546,2546,1269335.00,1113704.00,203835.00,909869.00,1238128.00,787491.00,418959.00,195952.00,52499.00,0.00,0.00
"Manufacture of ice, except dry ice",1557,2015,A,58,2537,2520,3737079.00,3270275.00,403003.00,2867272.00,3663742.00,2379513.00,1161310.00,164425.00,18781.00,0.00,0.00
Manufacture of flavoring extracts and food coloring,1560,2015,A,11,1123,1114,3207119.00,2842129.00,321594.00,2520535.00,3187436.00,2209302.00,786114.00,28190.00,126015.00,0.00,0.00
"Manufacture of mayonnaise, salad dressing, sandwich spread and similar products",1561,2015,A,4,390,390,10612704.00,8385969.00,491929.00,7894040.00,10333142.00,4320951.00,2812388.00,0.00,-144573.00,0.00,0.00
Manufacture of vinegar,1562,2015,A,4,144,134,2346493.00,2053412.00,239176.00,1814236.00,2347849.00,1217996.00,632644.00,6544.00,126884.00,0.00,0.00
"Manufacture of food products, n.e.c.",1563,2015,A,48,4643,4634,25557307.00,23231411.00,2026225.00,21205187.00,25631598.00,17327884.00,5078936.00,241129.00,1452172.00,0.00,0.00
Manufacture of prepared animal feeds,1564,2015,A,120,8883,8834,79816668.00,77524251.00,2665076.00,74859176.00,78317229.00,66232085.00,7893900.00,2566789.00,-1673480.00,0.00,0.00
"Distilling, rectifying and blending of spirits",1565,2015,A,9,1310,1307,53785984.00,43793043.00,722025.00,43071018.00,52352823.00,29006375.00,19375155.00,388242.00,-642272.00,0.00,0.00
Manufacture of malt liquors and malt,1568,2015,A,9,4087,4087,84852907.00,54822539.00,2478106.00,52344433.00,83404593.00,16784680.00,62834935.00,2368768.00,96095.00,0.00,0.00
"Manufacture of soft drinks except drinks flavored with fruit juices, syrups or other materials",1569,2015,A,33,6842,6842,51337075.00,43593048.00,4038949.00,39554098.00,50524750.00,27432333.00,14734298.00,2319709.00,-150478.00,0.00,0.00
"Manufacture of drinks flavored with fruit juices, syrups or other materials",1570,2015,A,11,1195,1195,2311026.00,2066393.00,251487.00,1814906.00,2265639.00,1379186.00,622816.00,51776.00,-17478.00,2892.00,0.00
Manufacture of bottled water,1571,2015,A,30,2902,2900,3132483.00,2982892.00,511237.00,2471655.00,3091690.00,1773050.00,890503.00,419358.00,-34496.00,0.00,0.00
Manufacture of sports and energy drink,1572,2015,A,3,212,212,5721480.00,4468383.00,117985.00,4350397.00,5740859.00,2708609.00,1879554.00,500149.00,-13546.00,0.00,0.00
